統計年,區域別,pu,scope
105,雲林縣褒忠鄉,13167,37.0552
105,雲林縣臺西鄉,24212,54.0983
105,雲林縣元長鄉,26361,71.5872
105,雲林縣四湖鄉,24151,77.1189
105,雲林縣口湖鄉,28074,80.4612
105,雲林縣水林鄉,26071,72.9582
105,嘉義縣太保市,37497,66.8964
105,嘉義縣朴子市,42585,49.5737
105,嘉義縣布袋鎮,27509,61.7307
105,嘉義縣大林鎮,31379,64.1663
105,嘉義縣民雄鄉,71834,85.4969
105,嘉義縣溪口鄉,14933,33.0463
105,嘉義縣新港鄉,32385,66.0495
105,嘉義縣六腳鄉,23787,62.2619
105,嘉義縣東石鄉,25307,81.5821
105,嘉義縣義竹鄉,18822,79.2925
105,嘉義縣鹿草鄉,15808,54.3151
105,嘉義縣水上鄉,50084,69.1198
105,嘉義縣中埔鄉,45395,129.5016
105,嘉義縣竹崎鄉,36226,162.2256
105,嘉義縣梅山鄉,19800,119.7571
105,嘉義縣番路鄉,11695,117.5269
105,嘉義縣大埔鄉,4610,173.2472
105,嘉義縣阿里山鄉,5664,427.8471
105,屏東縣屏東市,201644,65.067
105,屏東縣潮州鎮,54703,42.4331
105,屏東縣東港鎮,48097,29.4635
105,屏東縣恆春鎮,30783,136.763
105,屏東縣萬丹鄉,51261,57.4679
105,屏東縣長治鄉,30159,39.8861
105,屏東縣麟洛鄉,11125,16.26
105,屏東縣九如鄉,22083,42.0187
105,屏東縣里港鄉,26995,68.9208
105,屏東縣鹽埔鄉,26199,64.3493
105,屏東縣高樹鄉,24882,90.1522
105,屏東縣萬巒鄉,20609,60.7315
105,屏東縣內埔鄉,55181,81.8554
105,屏東縣竹田鄉,17351,29.0732
105,屏東縣新埤鄉,9927,59.0102
105,屏東縣枋寮鄉,24826,57.7347
105,屏東縣新園鄉,35680,38.3109
105,屏東縣崁頂鄉,15916,31.2659
105,屏東縣林邊鄉,18317,15.6233
105,屏東縣南州鄉,10808,18.97
105,屏東縣佳冬鄉,19689,30.9842
105,屏東縣琉球鄉,12423,6.8018
105,屏東縣車城鄉,8741,49.8517
105,屏東縣滿州鄉,7847,142.2013
105,屏東縣枋山鄉,5535,17.2697
105,屏東縣三地門鄉,7662,196.3965
105,屏東縣霧臺鄉,3285,278.796
105,屏東縣瑪家鄉,6773,78.7008
105,屏東縣泰武鄉,5262,118.6266
105,屏東縣來義鄉,7494,167.7756
105,屏東縣春日鄉,4855,160.001
105,屏東縣獅子鄉,4827,301.0018
105,屏東縣牡丹鄉,4853,181.8366
105,臺東縣臺東市,106368,109.7691
105,臺東縣成功鎮,14411,143.9939
105,臺東縣關山鎮,8811,58.7351
105,臺東縣卑南鄉,17443,412.6871
105,臺東縣大武鄉,6238,69.1454
105,臺東縣太麻里鄉,11304,96.6523
105,臺東縣東河鄉,8686,210.1908
105,臺東縣長濱鄉,7399,155.1868
105,臺東縣鹿野鄉,8018,89.698
105,臺東縣池上鄉,8375,82.6854
105,臺東縣綠島鄉,3724,15.0919
105,臺東縣延平鄉,3523,455.8805
105,臺東縣海端鄉,4283,880.0382
105,臺東縣達仁鄉,3524,306.4454
105,臺東縣金峰鄉,3612,380.6635
105,臺東縣蘭嶼鄉,5083,48.3892
105,花蓮縣花蓮市,105034,29.4095
105,花蓮縣鳳林鎮,11004,120.5181
105,花蓮縣玉里鎮,24740,252.3719
105,花蓮縣新城鄉,20274,29.4095
105,花蓮縣吉安鄉,83656,65.2582
105,花蓮縣壽豐鄉,18146,218.4448
105,花蓮縣光復鄉,13032,157.11
105,花蓮縣豐濱鄉,4439,162.4332
105,花蓮縣瑞穗鄉,11757,135.5862
105,花蓮縣富里鄉,10557,176.3705
105,花蓮縣秀林鄉,15796,1641.8555
105,花蓮縣萬榮鄉,6440,618.491
105,花蓮縣卓溪鄉,6036,1021.313
105,澎湖縣馬公市,61740,33.9918
105,澎湖縣湖西鄉,14435,33.3008
105,澎湖縣白沙鄉,9799,20.0875
105,澎湖縣西嶼鄉,8403,18.7148
105,澎湖縣望安鄉,5131,13.7824
105,澎湖縣七美鄉,3755,6.9868
105,基隆市中正區,52572,10.2118
105,基隆市七堵區,54103,56.2659
105,基隆市暖暖區,38407,22.8283
105,基隆市仁愛區,45021,4.2335
105,基隆市中山區,48115,10.5238
105,基隆市安樂區,82014,18.025
105,基隆市信義區,51868,10.6706
105,新竹市東區,209826,33.5768
105,新竹市北區,149993,15.7267
105,新竹市香山區,77518,54.8491
105,嘉義市東區,122462,30.1556
105,嘉義市西區,147412,29.87
105,金門縣金城鎮,42726,21.713
105,金門縣金湖鎮,28833,41.696
105,金門縣金沙鎮,20312,41.19
105,金門縣金寧鄉,30006,29.854
105,金門縣烈嶼鄉,12568,16.003
105,金門縣烏坵鄉,669,1.2
105,連江縣南竿鄉,7382,10.4
105,連江縣北竿鄉,2344,9.9
105,連江縣莒光鄉,1562,4.7
105,連江縣東引鄉,1307,3.8
